RFAM_Family,Description,Clan_Accession,Clan_Description,rna_cm,rna_go,rna_if,rna_if_bench,rna_ligand,rna_prot,rna_site,rna_site_bench
NULL,No RFAM family,,,142,0,1591,0,0,831,157,57
RF00001,5S ribosomal RNA,CL00113,5S rRNA clan,0,0,7,0,0,0,0,0
RF00002,5.8S ribosomal RNA,CL00112,LSU clan,1,0,15,0,0,6,1,0
RF00003,U1 spliceosomal RNA,CL00005,U1 clan,0,0,3,0,0,1,0,0
RF00004,U2 spliceosomal RNA,CL00006,U2 clan,1,103,48,0,0,16,2,0
RF00005,tRNA,CL00001,tRNA clan,21,0,183,0,0,99,26,1
RF00007,U12 minor spliceosomal RNA,CL00006,U2 clan,0,0,1,0,0,0,0,0
RF00009,Nuclear RNase P,CL00002,RNaseP clan,0,0,1,0,0,3,0,0
RF00010,Bacterial RNase P class A,CL00002,RNaseP clan,0,0,3,0,0,2,0,0
RF00011,Bacterial RNase P class B,CL00002,RNaseP clan,0,0,3,0,0,2,0,0
RF00013,6S / SsrS RNA,,,0,0,1,0,0,1,0,0
RF00015,U4 spliceosomal RNA,CL00007,U4 clan,0,20,6,0,0,0,1,0
RF00017,Metazoan signal recognition particle RNA,CL00003,SRP clan,0,14,6,0,0,0,1,0
RF00020,U5 spliceosomal RNA,,,0,101,47,0,0,17,3,0
RF00023,transfer-messenger RNA,CL00001,tRNA clan,1,0,2,0,0,2,0,0
RF00024,Vertebrate telomerase RNA,CL00004,Telomerase clan,0,0,6,0,0,4,0,0
RF00025,Ciliate telomerase RNA,CL00004,Telomerase clan,0,0,0,0,0,1,0,0
RF00026,U6 spliceosomal RNA,CL00009,U6 clan,0,14,11,0,0,7,1,0
RF00027,let-7 microRNA precursor,CL00148,let-7 microRNA precursor clan,0,0,6,0,0,4,0,0
RF00028,Group I catalytic intron,,,0,0,4,0,0,2,0,0
RF00029,Group II catalytic intron,,,0,3,3,0,0,2,0,0
RF00030,RNase MRP,CL00002,RNaseP clan,0,0,4,0,0,3,0,0
RF00032,Histone 3' UTR stem-loop,,,0,0,1,0,0,1,0,0
RF00037,Iron response element I,,,0,0,1,0,0,1,0,0
RF00044,3WJ core of Phi29 Bacteriophage pRNA,,,0,0,1,0,0,0,0,0
RF00050,FMN riboswitch aptamer (RFN element),,,1,0,2,0,0,1,0,0
RF00059,TPP riboswitch aptamer (THI element),,,1,0,5,0,0,2,0,1
RF00075,mir-166 microRNA precursor,,,0,0,1,0,0,0,0,0
RF00080,Manganese Mn2+ riboswitch aptamer (yybP-ykoY),,,0,0,2,0,0,0,0,0
RF00083,GlmZ RNA activator of glmS mRNA,CL00011,Glm clan,0,0,4,0,0,3,0,0
RF00094,Hepatitis delta virus ribozyme,,,0,0,3,0,0,1,1,0
RF00100,7SK RNA,CL00013,7SK clan,1,0,5,0,0,2,1,0
RF00102,VA RNA,,,0,0,1,0,0,1,0,0
RF00162,SAM riboswitch aptamer (S box leader),CL00012,SAM clan,0,29,23,0,0,2,0,1
RF00163,Hammerhead ribozyme (type I),CL00010,Hammerhead clan,0,0,1,0,0,0,0,0
RF00164,Coronavirus 3' stem-loop II-like motif (s2m),CL00117,Coronavirus 3' UTR,0,0,1,0,0,1,0,0
RF00166,PrrB/RsmZ RNA family,CL00106,Csr-Rsm protein binding clan,0,0,1,0,0,0,0,0
RF00167,Purine riboswitch aptamer,CL00123,Purine riboswitches,1,58,24,0,0,2,0,0
RF00168,Lysine riboswitch aptamer,,,1,0,2,0,0,1,0,0
RF00169,Bacterial small signal recognition particle RNA,CL00003,SRP clan,0,11,4,0,0,1,1,0
RF00174,Cobalamin riboswitch aptamer,CL00101,Cobalamin clan,1,0,4,0,0,3,0,0
RF00175,Human immunodeficiency virus type 1 dimerisation initiation site,,,0,0,3,0,0,0,0,0
RF00177,Bacterial small subunit ribosomal RNA,CL00111,SSU clan,2,0,66,0,89,11,5,0
RF00207,K10 transport/localisation element (TLS),,,0,0,5,0,0,0,0,0
RF00209,Pestivirus internal ribosome entry site (IRES),CL00017,IRES1 clan,0,0,1,0,0,0,0,0
RF00210,Aphthovirus internal ribosome entry site (IRES),,,0,0,1,0,0,1,0,0
RF00228,Hepatitis A virus internal ribosome entry site (IRES),,,0,0,1,0,0,1,1,0
RF00233,Tymovirus/Pomovirus/Furovirus tRNA-like 3' UTR element,,,1,0,1,0,0,1,0,0
RF00234,glmS glucosamine-6-phosphate activated ribozyme aptamer,,,0,15,5,0,0,2,1,1
RF00250,Trans-activation response element (TAR),,,0,0,2,0,0,1,0,0
RF00254,mir-16 microRNA precursor family,CL00085,mir-15 clan,0,0,1,0,0,1,0,0
RF00373,Archaeal RNase P,CL00002,RNaseP clan,0,0,1,0,0,0,0,0
RF00374,Gammaretrovirus core encapsidation signal,,,0,0,1,0,0,0,0,0
RF00375,HIV primer binding site (PBS),,,0,0,1,0,0,0,0,0
RF00379,c-di-AMP riboswitch aptamer (ydaO/yuaA leader),,,0,16,13,0,0,3,1,1
RF00380,M-box riboswitch aptamer (ykoK leader),,,0,3,1,0,0,1,0,0
RF00386,Enterovirus 5' cloverleaf cis-acting replication element,,,0,0,5,0,0,4,0,0
RF00390,UPSK RNA,,,0,0,1,0,0,1,0,0
RF00442,Guanidine-I riboswitch aptamer,,,1,10,6,0,0,4,0,1
RF00455,mir-15 microRNA precursor family,CL00085,mir-15 clan,0,0,1,0,0,1,0,0
RF00458,Cripavirus internal ribosome entry site (IRES),,,0,0,6,0,0,1,0,0
RF00488,Yeast U1 spliceosomal RNA,CL00005,U1 clan,2,0,7,0,0,2,0,0
RF00500,Turnip crinkle virus (TCV) repressor of minus strand synthesis H5,,,0,0,1,0,0,0,0,0
RF00504,Glycine riboswitch aptamer,CL00125,Glycine riboswitch clan,1,0,7,0,0,2,0,1
RF00505,RydC RNA,,,0,0,1,0,0,1,0,0
RF00507,Coronavirus frameshifting stimulation element,,,0,0,1,0,0,0,0,0
RF00525,Flavivirus DB element,,,0,0,1,0,0,1,0,0
RF00548,U11 spliceosomal RNA,CL00005,U1 clan,0,0,6,0,0,1,0,0
RF00622,Mammalian CPEB3 ribozyme,,,0,0,2,0,0,1,0,0
RF00634,SAM (S-adenosyl methionine) riboswitch aptamer,CL00012,SAM clan,0,4,1,0,0,1,0,0
RF00661,mir-31 microRNA precursor family,CL00133,mir-31 microRNA precursor family,0,0,1,0,0,0,0,0
RF00957,mir-663 microRNA precursor family,,,0,0,8,0,0,8,0,0
RF01047,HBV RNA encapsidation signal epsilon,CL00104,Hepadnavirus_epsilon clan,0,0,1,0,0,0,0,0
RF01051,c-di-GMP-I riboswitch aptamer,CL00126,c-di-GMP_I riboswitch clan,0,0,2,0,0,1,0,1
RF01054,PreQ1-II (pre queuosine) riboswitch aptamer,,,0,0,1,0,0,0,0,0
RF01057,SAH (S-adenosyl-L-homocysteine) riboswitch aptamer,,,0,0,1,0,0,1,0,0
RF01073,Gag/pol translational readthrough site,,,0,0,1,0,0,0,0,0
RF01084,Pseudoknot of tRNA-like structure,,,0,0,1,0,0,0,0,0
RF01344,CRISPR RNA direct repeat element,,,0,0,4,0,0,1,0,0
RF01380,Human immunodeficiency virus type 1 major splice donor,,,0,0,1,0,0,0,0,0
RF01415,Flavivirus 3'UTR stem loop IV,,,0,0,1,0,0,1,0,1
RF01510,2dG-I riboswitch aptamer (M. florum),CL00123,Purine riboswitches,1,0,2,0,0,1,0,1
RF01684,MALAT1-associated small cytoplasmic RNA/MEN beta RNA,,,0,0,5,0,0,4,0,0
RF01689,AdoCbl-II (Cobalamin/B12) riboswitch aptamer,CL00101,Cobalamin clan,0,4,2,0,0,1,0,1
RF01704,Glutamine-II riboswitch aptamer,,,0,0,1,0,0,1,0,0
RF01725,SAM-I/IV (S-adenosyl methionine) riboswitch aptamer,CL00012,SAM clan,0,2,2,0,0,1,0,0
RF01727,SAM/SAH riboswitch aptamer,,,0,1,1,0,0,0,0,1
RF01734,Fluoride riboswitch aptamer (crcB RNA motif),,,0,0,2,0,0,0,0,1
RF01739,Glutamine riboswitch aptamer (glnA leader),,,0,0,1,0,0,0,0,0
RF01750,ZMP/ZTP riboswitch aptamer (pfl RNA motif),,,0,0,5,0,0,4,0,1
RF01763,Guanidine-III riboswitch aptamer (yKKC-III),,,0,13,3,0,0,0,0,1
RF01764,azaaromatic riboswitch aptamer (yjdF RNA),,,0,0,1,0,0,1,1,0
RF01786,Cyclic di-GMP-II riboswitch aptamer,CL00127,c-di-GMP_II riboswitch clan,0,2,1,0,0,1,0,1
RF01807,GIR1 branching ribozyme,,,0,0,1,0,0,1,0,0
RF01826,SAM-V (S-adenosyl methionine) riboswitch aptamer,,,1,1,1,0,0,1,0,1
RF01831,THF (Tetrahydrofolate) riboswitch aptamer,,,1,0,3,0,0,2,0,1
RF01846,Fungal small nucleolar RNA U3,CL00100,U3 clan,0,0,30,0,0,9,0,0
RF01852,Selenocysteine transfer RNA,CL00001,tRNA clan,0,0,11,0,0,4,3,0
RF01854,Bacterial large signal recognition particle RNA,CL00003,SRP clan,1,4,2,0,0,1,0,0
RF01857,Archaeal signal recognition particle RNA,CL00003,SRP clan,0,1,0,0,0,1,0,0
RF01959,Archaeal small subunit ribosomal RNA,CL00111,SSU clan,3,0,5,0,0,3,0,0
RF01960,Eukaryotic small subunit ribosomal RNA,CL00111,SSU clan,1,0,107,0,0,27,2,0
RF02001,Group II catalytic intron D1-D4-3,CL00102,Group II catalytic intron D1-D4 clan,0,52,6,0,0,3,0,1
RF02095,mir-2985-2 microRNA precursor,,,0,0,1,0,0,0,0,0
RF02253,Iron response element II,,,0,0,1,0,0,1,0,0
RF02340,Dengue virus SLA,CL00129,Flavivirus 5' UTR clan,0,0,2,0,0,1,0,0
RF02348,Trans-activating crRNA,,,0,0,1,0,0,0,0,0
RF02359,Bacteriophage MS2 operator hairpin,,,0,0,4,0,0,4,0,0
RF02519,ToxI antitoxin,,,1,0,1,0,0,1,0,0
RF02521,Panicum mosaic virus cap-independent translation enhancer RNA (PTE),,,1,0,1,0,0,1,0,0
RF02540,Archaeal large subunit ribosomal RNA,CL00112,LSU clan,0,1,10,0,0,3,0,0
RF02541,Bacterial large subunit ribosomal RNA,CL00112,LSU clan,2,0,90,0,3,28,6,0
RF02542,Microsporidia small subunit ribosomal RNA,CL00111,SSU clan,0,0,1,0,0,0,0,0
RF02543,Eukaryotic large subunit ribosomal RNA,CL00112,LSU clan,3,0,161,0,198,61,3,0
RF02545,Trypanosomatid mitochondrial small subunit ribosomal RNA,CL00111,SSU clan,1,0,6,0,0,3,2,0
RF02546,Trypanosomatid mitochondrial large subunit ribosomal RNA,CL00112,LSU clan,0,0,5,0,0,2,0,0
RF02678,Hatchet ribozyme,,,0,3,2,0,0,1,0,0
RF02679,Pistol ribozyme,,,0,8,2,0,0,1,0,0
RF02680,PreQ1-III (pre queuosine) riboswitch aptamer,,,0,0,5,0,0,1,0,0
RF02681,Twister_sister_ribozyme,,,0,0,1,0,0,1,0,0
RF02683,NiCo (Nickel/Cobalt) riboswitch aptamer,CL00122,NiCo_riboswitches,0,0,1,0,0,1,0,0
RF02796,Pab160 RNA,,,0,6,2,0,0,0,0,0
RF02977,THF-II riboswitch (folE RNA),,,0,0,3,0,0,2,0,0
RF03013,nadA riboswitch,,,0,0,4,0,0,3,1,0
RF03016,RT-12 RNA,,,0,0,4,0,0,3,0,0
RF03022,RT-10 RNA,,,0,0,6,0,0,5,1,0
RF03054,Xanthine riboswitch aptamer (NMT1 RNA),,,0,0,1,0,0,1,0,0
RF03064,RAGATH-18 RNA,,,0,0,1,0,0,1,0,0
RF03072,raiA RNA,,,0,0,1,0,0,0,0,0
RF03085,abiF RNA,,,0,0,1,0,0,1,0,0
RF03120,Sarbecovirus 5'UTR,CL00116,Coronavirus 5' UTR,0,0,2,0,0,0,0,0
RF03167,c-di-GMP-I-GGC riboswitch aptamer,CL00126,c-di-GMP_I riboswitch clan,0,0,6,0,0,1,1,0
RF04190,Hairpin ribozyme 1 from viruses-like metatranscriptomes,,,1,0,2,0,0,1,1,0
RF04222,Flavivirus Potato leading responsible virus exoribonuclease-resistant RNA,,,1,0,1,0,0,1,0,0
