RFAM_Family,rna_cm,rna_go,rna_if,rna_if_bench,rna_ligand,rna_prot,rna_site,rna_site_bench
NULL,133,0,1466,0,0,788,145,51
RF00001,5,0,107,0,23,17,3,0
RF00002,0,0,91,0,19,26,0,0
RF00003,0,1,2,0,0,1,0,0
RF00004,2,101,42,0,0,17,2,0
RF00005,25,0,238,0,22,112,29,1
RF00007,0,1,2,0,0,1,1,0
RF00008,0,0,5,0,0,2,0,0
RF00009,0,0,0,0,0,1,0,0
RF00010,0,0,3,0,0,1,0,0
RF00011,0,0,3,0,0,2,0,0
RF00012,0,0,8,0,0,8,0,0
RF00013,0,0,1,0,0,1,0,0
RF00015,0,14,5,0,0,0,0,0
RF00017,2,13,7,0,0,1,1,0
RF00020,0,27,10,0,0,6,1,0
RF00023,1,0,2,0,0,2,0,0
RF00024,0,0,6,0,0,4,0,0
RF00025,0,0,0,0,0,1,0,0
RF00026,1,93,56,0,0,15,2,0
RF00027,0,0,10,0,0,6,1,0
RF00028,1,0,8,0,0,4,1,1
RF00029,0,3,4,0,0,3,0,0
RF00030,0,0,5,0,0,4,1,0
RF00032,0,0,1,0,0,2,2,0
RF00036,0,0,1,0,0,1,0,0
RF00037,0,0,1,0,0,1,0,0
RF00044,0,0,2,0,0,1,0,0
RF00050,1,0,4,0,0,1,0,1
RF00059,1,0,6,0,0,2,0,1
RF00061,1,0,6,0,0,3,0,0
RF00075,0,0,2,0,0,0,0,0
RF00080,0,0,4,0,0,2,0,0
RF00083,0,0,4,0,0,3,0,0
RF00094,0,0,3,0,0,1,1,0
RF00100,1,0,7,0,0,2,1,0
RF00102,0,0,1,0,0,1,0,0
RF00162,0,29,23,0,0,2,0,1
RF00163,1,0,3,0,0,2,0,0
RF00164,0,0,1,0,0,1,0,0
RF00166,0,0,1,0,0,0,0,0
RF00167,1,58,24,0,0,2,0,0
RF00168,1,0,2,0,0,1,0,0
RF00169,1,11,12,0,0,2,2,0
RF00174,1,0,4,0,0,3,0,0
RF00175,0,0,2,0,0,0,0,0
RF00177,1,0,31,0,42,15,3,0
RF00207,0,0,5,0,0,0,0,0
RF00209,0,0,1,0,0,0,0,0
RF00210,0,0,1,0,0,1,0,0
RF00228,0,0,1,0,0,1,1,0
RF00230,0,0,3,0,0,1,1,0
RF00233,1,0,3,0,0,2,0,0
RF00234,0,15,5,0,0,2,1,1
RF00250,0,0,3,0,0,1,0,2
RF00254,0,0,1,0,0,1,0,0
RF00373,0,0,2,0,0,0,0,0
RF00374,0,0,2,0,0,0,0,0
RF00379,0,16,13,0,0,3,1,1
RF00380,0,3,1,0,0,1,0,0
RF00386,0,0,8,0,0,5,0,0
RF00436,0,0,1,0,0,0,0,0
RF00442,1,10,10,0,0,4,0,1
RF00455,0,0,2,0,0,2,0,0
RF00458,0,0,4,0,0,3,0,0
RF00480,0,0,1,0,0,0,0,0
RF00488,0,0,3,0,0,0,0,0
RF00500,0,0,1,0,0,0,0,0
RF00504,1,0,7,0,0,2,0,1
RF00505,0,0,1,0,0,1,0,0
RF00507,0,0,3,0,0,1,0,0
RF00522,0,0,3,0,0,2,1,1
RF00525,0,0,1,0,0,1,0,0
RF00548,0,1,9,0,0,4,1,0
RF00622,0,0,2,0,0,1,0,0
RF00634,0,4,1,0,0,1,0,0
RF00635,0,0,1,0,0,1,0,0
RF00658,0,0,1,0,0,0,0,0
RF00661,0,0,1,0,0,0,0,0
RF01047,0,0,1,0,0,0,0,0
RF01051,0,0,2,0,0,1,0,1
RF01054,0,0,1,0,0,0,0,0
RF01057,0,0,1,0,0,1,0,0
RF01073,0,0,1,0,0,0,0,0
RF01084,0,0,1,0,0,0,0,0
RF01317,0,0,1,0,0,0,0,0
RF01344,0,0,4,0,0,1,0,0
RF01380,0,0,1,0,0,0,0,0
RF01381,0,0,1,0,0,0,0,0
RF01415,0,0,1,0,0,1,0,1
RF01510,1,0,2,0,0,1,0,1
RF01684,0,0,5,0,0,4,0,0
RF01689,0,4,2,0,0,1,0,1
RF01704,0,0,1,0,0,1,0,0
RF01725,0,2,2,0,0,1,0,0
RF01727,0,1,1,0,0,0,0,1
RF01734,0,0,2,0,0,0,0,1
RF01739,0,0,1,0,0,0,0,0
RF01750,0,0,5,0,0,4,0,1
RF01763,0,13,3,0,0,0,0,1
RF01764,0,0,1,0,0,1,1,0
RF01767,0,0,1,0,0,1,0,0
RF01786,0,2,1,0,0,1,0,1
RF01807,0,0,4,0,0,2,0,0
RF01826,1,1,1,0,0,1,0,1
RF01831,1,0,3,0,0,2,0,1
RF01835,0,0,1,0,0,0,0,0
RF01846,0,0,39,0,0,12,0,0
RF01852,0,0,12,0,0,5,3,0
RF01854,1,4,2,0,0,1,0,0
RF01857,1,1,3,0,0,3,2,0
RF01959,1,0,4,0,0,1,0,0
RF01960,0,0,78,0,179,26,1,0
RF02001,0,52,3,0,0,1,0,1
RF02033,0,0,1,0,0,1,0,0
RF02095,0,0,1,0,0,0,0,0
RF02253,0,0,1,0,0,1,0,0
RF02340,0,0,4,0,0,3,0,0
RF02348,0,0,36,0,0,5,1,0
RF02359,0,0,4,0,0,4,0,0
RF02519,1,0,1,0,0,1,0,0
RF02521,1,0,1,0,0,1,0,0
RF02540,0,2,32,0,5,6,1,0
RF02541,0,0,28,0,0,9,3,0
RF02542,0,0,6,0,0,2,0,0
RF02543,1,0,24,0,0,20,3,0
RF02545,1,0,6,0,0,3,2,0
RF02546,0,0,5,0,0,2,0,0
RF02553,0,0,1,0,0,1,0,0
RF02678,0,3,2,0,0,1,0,0
RF02679,0,8,2,0,0,1,0,0
RF02680,0,0,5,0,0,1,0,0
RF02681,0,0,1,0,0,1,0,0
RF02683,0,0,1,0,0,1,0,0
RF02747,0,0,1,0,0,0,0,0
RF02796,0,6,2,0,0,0,0,0
RF02885,0,0,2,0,0,1,1,0
RF02977,0,0,3,0,0,2,0,0
RF03013,0,0,4,0,0,3,1,0
RF03016,0,0,4,0,0,3,0,0
RF03022,0,0,6,0,0,5,1,0
RF03054,0,0,1,0,0,1,0,0
RF03064,0,0,1,0,0,1,0,0
RF03072,0,0,2,0,0,1,0,0
RF03085,0,0,1,0,0,1,0,0
RF03117,0,0,4,0,0,0,0,0
RF03120,0,0,4,0,0,0,0,0
RF03152,0,0,1,0,0,1,0,0
RF03160,2,0,3,0,0,3,0,1
RF03167,0,0,6,0,0,1,1,0
RF04190,1,0,2,0,0,1,1,0
RF04222,1,0,1,0,0,1,0,0
